Customer_Index,tenure,MonthlyCharges,TotalCharges,Contract_One year,Contract_Two year,InternetService_Fiber optic,Churn_Probability,Risk_Tier,Churn_Actual,Churn_Predicted,Top_3_Drivers,Recommended_Action
805,1,77.15,77.15,0,0,1,0.9780709,High Risk,1,1,charges_per_tenure (+1.873) | InternetService_Fiber optic (+0.243) | Contract_Two year (+0.213),Priority call — offer annual plan + early loyalty reward
667,1,95.65,95.65,0,0,1,0.9774399,High Risk,1,1,charges_per_tenure (+1.954) | high_risk_flag (+0.263) | InternetService_Fiber optic (+0.232),Priority call — offer annual plan + early loyalty reward
1080,1,85.05,85.05,0,0,1,0.97519934,High Risk,1,1,charges_per_tenure (+1.769) | InternetService_Fiber optic (+0.221) | Contract_Two year (+0.218),Priority call — offer annual plan + early loyalty reward
1149,1,95.1,95.1,0,0,1,0.97457,High Risk,1,1,charges_per_tenure (+1.668) | InternetService_Fiber optic (+0.229) | MultipleLines (+0.204),Priority call — offer annual plan + early loyalty reward
591,7,99.25,665.45,0,0,1,0.9717236,High Risk,1,1,charges_per_tenure (+1.156) | MonthlyCharges (+0.540) | InternetService_Fiber optic (+0.245),Priority call — offer annual plan + early loyalty reward
369,1,69.6,69.6,0,0,1,0.97035867,High Risk,1,1,charges_per_tenure (+1.733) | TotalCharges (+0.222) | Contract_Two year (+0.213),Priority call — offer annual plan + early loyalty reward
902,3,100.95,329.95,0,0,1,0.9694641,High Risk,1,1,charges_per_tenure (+1.455) | MultipleLines (+0.233) | InternetService_Fiber optic (+0.227),Priority call — offer annual plan + early loyalty reward
944,6,94.05,518.75,0,0,1,0.9640759,High Risk,0,1,charges_per_tenure (+1.497) | MonthlyCharges (+0.410) | InternetService_Fiber optic (+0.245),Priority call — offer annual plan + early loyalty reward
885,2,94.2,193.8,0,0,1,0.96401,High Risk,1,1,charges_per_tenure (+1.562) | MonthlyCharges (+0.284) | InternetService_Fiber optic (+0.232),Priority call — offer annual plan + early loyalty reward
324,1,79.35,79.35,0,0,1,0.96342635,High Risk,1,1,charges_per_tenure (+1.826) | high_risk_flag (+0.238) | InternetService_Fiber optic (+0.228),Priority call — offer annual plan + early loyalty reward
1114,1,68.65,68.65,0,0,1,0.9627904,High Risk,1,1,charges_per_tenure (+1.800) | Contract_Two year (+0.211) | high_risk_flag (+0.208),Priority call — offer annual plan + early loyalty reward
1126,1,69.25,69.25,0,0,1,0.962678,High Risk,1,1,charges_per_tenure (+1.670) | TotalCharges (+0.267) | Contract_Two year (+0.206),Priority call — offer annual plan + early loyalty reward
469,4,99.8,442.85,0,0,1,0.96218246,High Risk,1,1,charges_per_tenure (+1.255) | MonthlyCharges (+0.634) | InternetService_Fiber optic (+0.239),Priority call — offer annual plan + early loyalty reward
136,1,78.8,78.8,0,0,1,0.96215093,High Risk,1,1,charges_per_tenure (+1.765) | high_risk_flag (+0.227) | InternetService_Fiber optic (+0.223),Priority call — offer annual plan + early loyalty reward
31,1,69.1,69.1,0,0,1,0.9614252,High Risk,1,1,charges_per_tenure (+1.775) | InternetService_Fiber optic (+0.220) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
304,1,69.55,69.55,0,0,1,0.9614252,High Risk,1,1,charges_per_tenure (+1.775) | InternetService_Fiber optic (+0.220) | Contract_Two year (+0.210),Priority call — offer annual plan + early loyalty reward
